AT,V,AP,RH,PE
29.56,70.4,1006.49,82.95,434.5566995
19.94,56.53,1020.48,76.43,455.5066995
27.55,64.96,999.73,57.34,431.33
31.44,79.74,1006.95,56.99,429.9833005
25.35,74.33,1015.29,77.84,437.3666995
4.11,38.44,1015.9,81.79,488.05
30.59,70.04,1010.28,50.56,430.8366995
14.04,48.79,1017.62,75.25,462.3833005
15.47,44.9,1021.59,81.74,467.3166995
8.67,40.77,1011.81,89.4,480.9366995
10.53,37.5,1008.55,99.91,470.6133005
7.99,41.38,1021.95,78.77,485.8633005
22.29,45.01,1012.4,51.58,447.3733005
9.06,36.3,1015.14,58.71,479.0866995
10.05,37.14,1012.64,75.97,475.8666995
20.07,49.21,1012.34,56.8,455.9566995
30.65,71.98,1004.92,63.39,431.5566995
14.38,40.73,1017.48,90.64,464.6866995
27.76,71.97,1008.53,86.97,435.7466995
16.7,40.56,1019.04,50.9,470.84
5.35,35.57,1027.12,80.81,490.3566995
11.57,41.38,1021.71,61.49,475.6466995
30.57,73.03,1013.75,73.68,435.7133005
16,40.66,1016.12,89.23,457.12
15.6,41.04,1025.48,64.43,459.1966995
22.12,47.93,1005.5,84.47,441.7033005
21.33,58.46,1016.17,79.73,443.5633005
23.65,59.92,1010.19,89.53,435.0333005
6.8,39.37,1020.24,73.29,487.33
31.35,71.32,1005.99,62.35,436.1366995
23.99,68.12,1012.92,70.68,435.4333005
26.53,54.2,1012.9,66.73,441.6666995
31.59,62.7,1009.3,50.16,442.58
24.06,69.94,1005.47,60.46,438.5866995
27.28,44.89,1009.02,49.9,443.6466995
23.69,71.97,1009.62,93.03,436.9133005
11.46,39.1,1010.17,100.15,468.8433005
22.61,49.3,1003.51,83.02,441.76
21.84,45.09,1013.94,46.11,450.88
9.2,39.82,1013.19,91.25,484.5966995
17.75,49.25,1020.86,63.67,456.1166995
7.53,43.65,1018.58,64.85,480.8566995
16.76,45.09,1014.28,57.71,458.67
22.69,65.12,1016.35,72.02,445.2033005
11.91,44.45,1021.39,84.49,468.2266995
26.63,61.47,1008.18,69,444.16
6.72,39.85,1011.84,84.66,489.09
9.44,43.99,1020.31,98.06,476.7166995
18.32,45,1022.67,46.38,471.43
18.31,62.1,1020.38,79.02,453.5333005
26.57,44.57,1007.76,50.39,445.49
34.33,69.05,1000.89,37.9,428.8533005
14.85,40.8,1025.38,53.29,473.4866995
29.33,64.84,1010.76,53.32,444.8566995
8.77,40.46,1019.68,77.84,476.7066995
11.35,38.91,1017.93,83.45,475.9266995
21.38,44.05,1005.69,81.66,445.71
4.88,40.27,1012.66,74.51,491.29
26.66,64.27,1012.83,58.88,437.87
13.04,45.09,1013,87.68,465.7333005
29.47,71.32,1008.07,67,438.8466995
18.91,56.9,1006.98,84.07,446.5333005
24.86,44.05,1005.69,66.65,445.4933005
9.42,41.4,1029.6,87.43,476.4133005
12.75,42.34,1018.17,94.67,465.44
21.32,49.02,1008.81,85.81,443.9433005
24.26,67.69,1008.48,66.74,437.4
20.01,43.77,1012.13,65.53,457.3666995
21.35,59.04,1012.28,95.71,447.5366995
17.43,63.09,1019.87,92.77,447.6533005
27.86,65.18,1012.87,55.53,436.26
20.74,59.8,1015.46,76.39,451.2833005
27.73,67.69,1007.47,59.42,430.0133005
9.53,41.44,1018.01,80.09,483.5366995
28.5,79.74,1006.75,87.09,431.3733005
21.39,52.3,1009.2,79.77,448.5766995
14.54,46.18,1015.29,94.48,464.7366995
28.01,65.34,1014.68,46.86,440.77
30.51,70.94,1007.64,59.42,432.6166995
21.63,60.84,1018.16,77.53,444.2233005
26.39,71.25,999.8,89.12,432.0466995
13.84,41.26,1020.92,74.74,464.1666995
17.27,43.52,1021.37,76.73,461.7866995
21.89,58.05,1011.31,85.71,441.76
24.02,64.63,1020.49,55.17,447.9533005
31.92,75.33,1001.81,61.97,436.38
12.97,49.83,1008.69,91.49,450.3633005
15.89,43.96,1014.02,75.24,465.6433005
9.25,41.26,1020.51,91.21,475.5766995
15.99,43.5,1021.34,73.22,458.9933005
9.06,39.66,1019.64,76.98,479.53
14.48,44.06,1018.73,75.88,469.1666995
27.15,59.21,1013.49,51.71,441.9766995
21.68,64.15,1021.09,70.88,456.0266995
28.16,61.47,1009.19,62.53,442.48
34.33,74.34,1001.74,42.75,434.0533005
31.98,64.05,1010.49,58.01,439.56
15.21,43.56,1012.92,56.61,467
13.56,42.34,1017.95,93.83,460.8933005
10.32,42.02,998.27,99.12,472.16
22.46,58.49,1011.5,70.54,450.1666995
29.3,68.08,1011.23,56.23,434.11
22.3,44.57,1008.48,67.58,448.0333005
21.91,70.32,1009.17,90.57,440.9966995
10.95,43.8,1022.61,63.46,473.2
24.96,68.12,1011.27,70.22,435.9133005
5.91,39.33,1010.18,95.53,493.1966995
5.25,40.07,1019.48,67.7,495.23
21.47,60.93,1006.46,87.83,442.75
10.16,39.3,1019.71,81.21,479.0333005
17.29,44.06,1016.24,77.56,461.38
17.46,40.22,1006.7,91.96,463.4466995
11.56,40.43,1025.48,74.75,487.8333005
7.51,41.01,1024.61,97.41,475.9033005
17.08,38.58,1015.41,73.42,459.7833005
9.27,42.02,1004.29,95.05,473.2233005
21.3,48.92,1010.92,65.09,446.1833005
8.51,40.81,1015.54,83.16,482.7266995
12.77,41.5,1014.13,86.8,472.3866995
25.04,65.48,1017.66,57.08,440.92
21.83,41.1,1001.91,41.79,455.0866995
15.92,41.79,1006.24,79.42,460.3866995
29.97,69.14,1007.92,66.74,433.82
9.8,41.82,1032.98,67.55,473.72
9.01,38.56,1016.67,63.61,480.6633005
24.71,61.9,1013.78,85.82,441.6833005
20.57,63.78,1016.76,74,448.2233005
24.32,65.48,1017.55,59.02,445.0166995
21.41,50.32,1008.61,84.47,443.63
27.09,59.15,1013.02,55.18,440.6066995
23.49,47.45,1008.46,66.18,446.72
20,63.31,1017.06,63.1,449.68
13.4,41.58,1020.5,71.17,463.2466995
23.6,60.08,1017.51,63.02,450.2633005
21.03,70.02,1010.21,95.69,444.53
5.15,45.87,1008.02,98.36,479.61
17.16,58.86,1016.4,86.39,452.0533005
24.59,71.94,1006.89,88.52,431.9866995
23.05,65.94,1010.99,69.73,440.6833005
10.48,37.5,1009.81,95.26,476.2766995
15.72,43.02,1011.98,45.74,466.33
25.56,70.32,1009.07,90.63,432.0133005
13.78,41.16,1021.65,75.77,460.44
29.35,69.04,1008.55,61.78,445.04
32.09,79.74,1006.92,61.5,431.1433005
25.16,77.3,1000.73,86.4,441.0766995
14.63,40,1018.03,63.4,455.3833005
5.7,40.35,1012.18,91.57,488.8
28.15,74.9,1003.67,76.32,433.63
22.3,57.19,1006.4,75.28,445.1
27.71,72.99,1007.18,72.68,434.7166995
23.09,45.01,1012.25,43.95,455.1566995
19.66,42.18,1001.51,95.75,454.46
10.02,52.75,1021.93,73.68,473.09
23.97,68.67,1006.63,76.83,443.2366995
7.82,38.91,1015.58,90.11,480.8566995
30.21,69.4,1003.69,62.89,436.4733005
24.12,62.44,1013.83,88.02,443.3
21.05,63.09,1016.49,91.23,445.7433005
13.93,40.24,1017.88,88.35,467.5433005
9.68,41.06,1022.75,87.44,478.3766995
17.48,49.39,1021.51,84.53,458.3033005
28.76,66.56,1006.07,62.41,432.3
19.21,53.16,1013.18,81.64,454.01
25.63,72.99,1008.2,86.8,436.64
20.36,66.05,1015.86,87.19,450.23
15.34,40.73,1018.03,86.19,460.2566995
9.55,40.72,1023.12,68.06,479.3733005
13.45,41.16,1022.04,82.96,460.57
10.8,39.58,1011.99,87.54,479.9466995
28.15,72.99,1007.62,70.03,433.5366995
15.42,40.56,1021.23,59.37,469.33
33.6,74.33,1012.31,35.66,430.3266995
30.92,78.05,1011,59.62,435.8266995
25.24,57.17,1010.44,74,442.77
13.6,41.2,1015.92,85.05,467.42
18.68,46,1002.2,97.17,449.5066995
22.43,69.84,1006.94,75.54,437.8966995
23.37,70.94,1008.01,81.28,439.8533005
19.62,43.56,1012.89,37.6,465.0366995
14.35,39.39,1012.92,82.41,472.2366995
24.88,63.91,1009.41,77.75,447.28
20.67,63.56,1013.27,79.39,448.9933005
34.11,73.56,1006.77,45.92,434.4866995
19.15,44.89,1009.6,74.52,452.7966995
24.96,70.47,1007.73,76.48,439.9366995
18.86,42.18,1001.16,98.58,458.7766995
25.1,60.37,1005.83,72.53,440.1466995
10.15,43.41,1018.4,82.07,473.43
26.53,65.18,1012.77,64.37,439.0966995
26.05,46.21,1011.31,55.25,450.86
25.45,74.33,1015.53,80.95,436.8266995
8.14,39.96,1023.41,88.86,475.3433005
31.95,67.17,1007.11,61.58,434.3066995
30.8,73.56,1007.39,75.78,430.7233005
7.69,43.02,1014.51,85.23,488.1666995
15.3,43.67,1011.75,95.31,466.4333005
27.12,70.32,1009.94,52.67,427.3733005
25.76,74.87,1010.18,65.15,441.9933005
10.28,39.64,1010.45,74.15,475.9433005
30.91,79.74,1006.92,56.32,432.1333005
24.22,61.86,1013.39,80.11,442.65
5.67,45.87,1008.91,93.29,480.1466995
22.96,68.61,1011.15,76.62,447.18
24.54,65.46,1014.27,40.77,447.9666995
11.32,36.18,1015.03,64.68,470.9633005
15.15,53.82,1016.34,62.59,459.8933005
23.53,50.05,1005.63,78.4,442.0033005
29.08,66.54,1004.67,64.5,430.16
20.42,60.77,1017.65,87.07,446.1433005
26.32,69.71,1009.39,67.05,441.25
21.89,74.93,1016.11,77.88,448.47
9.68,41.48,1018.24,71.04,473.31
16.73,54.3,1017.96,59.44,458.8333005
7.8,39.04,1018.46,66.5,484.0166995
23.29,65.61,1014.81,70.27,449.3766995
28.93,72.99,1007.23,64.41,434.45
16.75,42.23,1013.81,84.98,466.5766995
21.47,58.79,1017,76.97,446.33
25.98,68.12,1011.36,66.86,440.7066995
16.34,36.99,1006.99,90.06,464.5333005
25.23,69.34,1009.51,82.87,445.92
12.41,41.44,1015.46,76.9,470.3533005
24.2,60.77,1016.92,71.65,437.4233005
7.51,41.66,1015.9,78.31,483.8733005
31.53,70.94,1007.11,50.04,433.5466995
17.42,44.06,1016.63,82.15,454.8633005
6.92,39.61,1018.64,82.27,485.5366995
8.34,40.72,1023.62,83.75,484.8466995
32.07,67.83,1007.91,41.61,431.0166995
27.18,64.79,1016.27,63.7,445.5766995
9.24,41.4,1030.72,87.36,478.6066995
13.48,46.18,1018.15,88.38,462.8733005
22.74,61.02,1009.56,79.41,447.2666995
28.62,68.24,1010.15,69.31,428.08
25.11,62.26,1011.12,78.01,434.97
11.47,43.67,1012.68,72.51,475.72
29.51,75.6,1017.92,50.61,432.8866995
15.24,39.39,1013.01,74.24,469.79
22.71,75.23,1010.48,76.86,445.7066995
13.98,39.18,1009.61,89.12,469.6766995
17.89,40.12,1011.99,76.52,453.4966995
12.81,44.58,1016.49,80.76,477.2066995
15.54,41.96,1011.78,97.46,468.8066995
20.21,54.9,1016.82,66.56,452.5233005
6.17,36.25,1028.68,90.59,483.77
26.42,59.54,1007.02,76.28,436.7933005
14.6,44.47,1028.46,69.96,463.5333005
29.53,72.39,998.47,76.05,429.9833005
12.95,43.71,1025.63,90.7,469.15
13.26,40.83,1007.97,90.63,470.4333005
23.48,60.23,1011.91,79.48,439.1466995
10.16,41.55,1005.69,58.04,478.9766995
29.13,66.56,1006.63,52.85,439.31
10.8,41.74,1020.24,78.62,481.0266995
25.21,75.6,1017.19,69.84,444.1333005
20.72,44.57,1008.96,72.57,451.4666995
26.17,59.92,1010.01,73.75,443.2533005
17.48,44.2,1018.89,61.51,457.15
29.67,73.67,1006.48,64.98,429.28
26.38,71.73,1010.04,69.45,431.66
12.08,41.39,1019.45,78.3,476.0933005
25.3,70.98,1007.22,95.1,439.1533005
16.55,39.64,1009.07,77.8,466.9966995
13.18,43.8,1023.18,61.21,468.7066995
21.34,51.61,1010.11,80.7,452
20.06,44.9,1008.79,70.06,450.2166995
8.26,39.42,1025.89,70.53,473.0133005
8.51,38.5,1013.33,64.28,484.0966995
8.83,36.25,1028.86,85.6,476.7433005
14.52,44.84,1023.51,88.51,465.1733005
7.87,43.02,1014.67,83.58,483.9033005
7.14,44.71,1019.98,71.9,487.71
7.49,36.08,1020.27,85.69,484.9666995
11.01,40.22,1011.13,83.09,476.69
20.74,58.2,1017.54,70.66,448.6933005
30.98,67.48,1009.96,58.92,439.39
26.67,70.94,1007.7,56.56,439.13
28.24,71.58,1010.1,67.92,435.7166995
11.98,39.35,1014.97,98.05,470.7233005
30.91,69.75,1010.23,59.36,433.9933005
23.23,63.31,1012.52,75.1,439.7933005
30.13,78.05,1010.99,61.5,432.4333005
20.79,65.59,1014.9,77,452.0066995
14.38,45.09,1012.95,86.1,462.5633005
10.07,40.46,1018.65,69.2,470.99
10.48,41.38,1021.97,65.22,483.1166995
6.86,41.17,1020.12,79.14,490.23
13.25,41.62,1010.8,77.81,459.3466995
26.92,51.43,1012.29,59.33,437.35
12.76,40.27,1006.58,49.34,474.03
30.2,73.67,1006.31,62.14,430.4266995
10.72,41.38,1021.6,63.77,478.29
17.39,46.21,1013.94,82.73,455.7666995
30.97,67.69,1005.61,50.88,425.35
28.16,71.94,1007.69,68.17,432.1666995
28.84,73.03,1013.99,76.05,435.75
24.48,64.45,1014.69,51.43,451.1133005
11.23,39.72,1018.46,60.62,475.04
13.52,42.07,1017.91,90.21,464.07
16.61,45.87,1009.34,97.93,455.86
20.96,61.27,1019.99,67.32,448.77
32.15,69.98,1013.3,55.13,428.1533005
21.24,44.57,1008.72,72.57,445.3233005
26.49,78.92,1010.82,83.42,434.91
24.01,65.46,1014.17,43.02,443.81
33.15,70.4,1003.72,53.98,431.8566995
20.13,40.33,1005.31,85.42,460.09
21.41,62.39,1007.84,88.83,454.5066995
31.35,70.8,1010.11,66.37,433.8966995
27.44,58.9,1003.86,66.74,442.19
25.21,51.43,1006.43,78.55,440.7166995
32.06,75.33,1001.96,63.15,434.6266995
25.04,51.95,1005.56,66.53,451.1566995
13.31,40.1,1014.81,82.11,468.74
29.68,64.33,1011.2,57.73,440.0833005
13.46,44.71,1014.51,50,476.3066995
18.77,49.39,1021.06,82.95,452.8233005
13.56,39.18,1023.4,63.82,468.6733005
20.65,66.51,1014.94,71.83,458.1966995
26.5,66.05,1017.03,61.34,441.8566995
23.67,72.24,1011.22,90.45,435.94
8.64,41.66,1014.14,80.44,480.1833005
20.2,50.9,1011.72,77.63,454.09
5.04,40.64,1021.35,93.63,482.7133005
23.59,59.43,1009.96,65.8,440.61
17.47,58.16,1016.36,82.26,456.97
6.02,43.65,1013.85,83.53,483.6266995
30.05,56.9,1007.02,41.96,435.8433005
29.23,68.14,1004.31,81.46,428.87
26.03,64.44,1012.75,62.24,444.1833005
26.38,49.5,1012.82,37.19,457.81
5.66,40.62,1015.87,84.97,486.8866995
27.65,48.41,1008.54,58.25,440.94
17.88,46.97,1013.73,67.78,455.0633005
11.2,37.5,1013.81,72.81,470.4933005
20.94,58.16,1016.88,65.43,455.16
20.64,49.21,1014.86,58.47,454.2
